time,a,b,c,d
3305012181,21146,5848,4746,5845
3305074681,275,5756,12734,5778
3305137182,29243,29299,29269,29229
3305199683,29274,29181,23818,29178
3305262182,275,5838,3236,5846
3305324683,274,5761,24290,5799
3305387182,29283,29197,27905,29191
3305449683,25410,5887,21499,5875
3305512184,26997,5794,21889,5781
3305574683,25974,5790,21267,5778
3305637184,26346,5791,20879,5780
3305699684,26476,5790,20585,5778
3305762184,25957,5788,20392,5780
3305824685,25338,5785,20262,5780
3305887184,24452,5783,20171,5779
3305949685,23889,5781,19983,5780
3306012184,23337,5779,19862,5780
3306074685,22787,5780,19743,5777
3306137186,22436,5778,19729,5780
3306199687,22001,5782,19751,5779
3306262186,21510,5785,19660,5778
3306324687,20971,5780,19579,5779
3306387187,20835,5779,19478,5777
3306449686,20594,5777,19382,5775
3306512187,20291,5781,19319,5777
3306574687,20121,5778,19382,5777
3306637188,19872,5777,19229,5776
3306699688,19695,5780,19206,5779
3306762188,19681,5780,19207,5777
3306824688,19511,5781,19114,5779
3306887189,19262,5777,19100,5778
3306949688,19243,5780,19068,5778
3307012189,19277,5779,19022,5779
3307074688,19235,5782,18990,5778
3307137188,19019,5779,18933,5777
3307199689,18858,5778,18970,5776
3307262188,19141,5778,19232,5778
3307324688,26462,5872,16774,5865
3307387188,277,5748,10315,5765
3307449689,29267,29194,29244,29289
3307512189,29254,29193,26450,29184
3307574689,278,5836,1910,5848
3307637190,276,5761,15628,5784
3307699691,29249,29229,29249,29229
3307762191,29283,29186,16821,6091
3307824692,276,5832,2949,5755
3307887193,275,5763,23765,24519
3307949693,29249,29229,29269,29266
3308012193,29280,5936,7605,5850
3308074693,278,5751,7614,5770
3308137194,12202,26525,29250,29249
3308199694,29268,29261,28138,29179
3308262195,918,5835,2898,5846
3308324696,275,5757,14650,5781
3308387196,29249,29229,29229,29249
3308449696,29284,29187,19711,28818
3308512197,276,5839,2920,5845
3308574698,274,5765,22537,5823
3308637198,29269,29229,29269,29332
3308699699,29275,28595,9796,5855
3308762199,275,5815,6902,5763
3308824700,1734,6842,29216,29289
3308887200,29249,29337,29224,29188
3308949701,16741,5841,4288,5846
3309012201,274,5759,13265,5781
3309074701,29251,29269,29269,29249
3309137201,29290,29186,23005,29185
3309199701,276,5835,3069,5847
3309262202,274,5760,20458,5791
3309324702,29245,29259,29321,29194
3309387202,29276,29178,24084,29174
3309449702,29331,28596,22587,27558
3309512202,27633,5889,21554,5871
3309574703,26153,5790,20860,5772
3309637203,26513,5790,20596,5778
3309699704,26117,5791,20428,5779
3309762205,25497,5790,20256,5779
3309824704,24816,5783,20156,5773
3309887205,24009,5784,19954,5779
3309949704,23339,5785,19805,5779
3310012204,22610,5782,19813,5777
3310074705,22223,5783,19733,5778
3310137204,21596,5781,19570,5781
3310199705,21306,5779,19540,5778
3310262205,21001,5781,19461,5779
3310324706,20635,5773,19351,5778
3310387206,20341,5777,19446,5777
3310449707,20017,5780,19399,5778
3310512206,19743,5779,19404,5777
3310574707,19518,5778,19336,5781
3310637208,19289,5779,19275,5778
3310699709,19231,5778,19170,5777
3310762209,19269,5781,19183,5777
3310824709,19128,5775,19116,5779
3310887209,19009,5780,19072,5777
3310949710,18945,5775,19078,5778
3311012210,18915,5779,19108,5775
3311074711,18835,5779,18983,5777
3311137211,18587,5780,19027,5777
3311199711,18746,5784,19010,5774
3311262212,18665,5778,19002,5781
3311324712,18627,5781,19028,5781
3311387212,18563,5775,19040,5777
3311449712,18480,5778,18962,5778
3311512213,18433,5776,19024,5777
3311574713,18558,5776,19026,5780
3311637214,18604,5779,19010,5777
3311699713,18643,5777,19008,5778
3311762213,18682,5777,18984,5777
3311824714,18711,5775,18984,5777
3311887213,18596,5777,19007,5775
3311949713,18496,5781,19010,5777
3312012213,18548,5778,18945,5777
3312074714,18647,5774,19020,5778
3312137214,18495,5779,19005,5777
3312199715,18357,5777,18966,5779
3312262216,18373,5778,18947,5778
3312324715,18733,5779,19010,5777
3312387215,18834,5779,18971,5780
3312449716,18767,5785,18967,5778
3312512217,18614,5782,18958,5775
3312574716,18596,5781,18955,5777
3312637216,18697,5781,19023,5779
3312699716,18545,5779,19022,5779
3312762216,18609,5784,18956,5772
3312824716,18609,5779,18986,5776
3312887217,18566,5780,19004,5776
3312949717,18412,5780,18961,5779
3313012217,18702,5781,19009,5778
3313074717,18755,5778,19019,5778
3313137218,18635,5778,19046,5773
3313199717,18703,5778,19087,5778
3313262218,29014,29192,23948,29186
3313324717,29275,29179,22461,5873
3313387218,277,5824,4804,5750
3313449717,276,5762,22117,29194
3313512218,29269,29249,29279,29227
3313574718,27926,5868,7406,5840
3313637218,278,5755,7250,5771
3313699718,20849,29197,29248,29269
3313762218,29254,29213,27076,29185
3313824718,281,5836,2599,5848
3313887219,275,5764,15061,5782
3313949718,29249,29229,29249,29249
3314012219,29285,29184,18378,17270
3314074718,275,5834,2878,5756
3314137219,275,5765,23014,15432
3314199718,29249,29249,29269,29333
3314262219,29286,17384,8745,5853
3314324719,275,5745,7193,5767
3314387220,5771,17055,29244,29289
3314449720,29269,29327,28947,29187
3314512220,7035,5838,3709,5843
3314574720,275,5756,13795,5779
3314637220,29239,29249,29269,29229
3314699720,29279,29180,21511,29177
3314762221,275,5833,2969,5852
3314824720,275,5761,21602,5793
3314887221,29269,29229,29269,29287
3314949722,29276,29177,11591,5858
3315012222,275,5828,6426,5764
3315074722,341,5777,28771,29329
3315137222,29269,29299,29281,29190
3315199722,25711,5861,5236,5847
3315262223,273,5763,15951,5783
3315324723,29267,29220,29195,29197
3315387224,29281,15289,22011,5878
3315449724,25403,5792,21950,5781
3315512223,26859,5792,21576,5780
3315574724,26258,5796,21016,5779
3315637224,26664,5787,20815,5773
3315699724,26070,5793,20466,5778
3315762224,25650,5789,20391,5778
3315824724,25024,5783,20219,5777
3315887224,24278,5784,20011,5781
3315949725,23737,5782,19945,5776
3316012226,23100,5781,19909,5777
3316074726,22711,5781,19815,5781
3316137226,22124,5782,19701,5778
3316199727,21925,5782,19636,5783
3316262228,21383,5780,19510,5778
3316324728,20974,5781,19533,5779
3316387228,20661,5784,19492,5778
3316449729,20457,5779,19412,5779
3316512229,20371,5780,19347,5778
3316574730,20014,5783,19318,5778
3316637230,19911,5777,19349,5780
3316699729,19711,5780,19290,5780
3316762230,19534,5775,19261,5777
3316824731,19427,5777,19196,5777
