=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
516,-45,40,8,0,16,0
517,-47,40,8,0,16,0
518,-43,38,8,0,16,0
519,-46,40,8,0,16,0
520,-44,39,8,0,16,0
521,-44,40,8,0,16,0
522,-44,40,8,0,16,0
523,-47,40,8,0,16,0
524,-44,40,8,0,16,0
525,-43,38,8,0,16,0
526,-40,40,8,0,16,0
527,-50,37,8,0,16,0
528,-46,39,8,0,16,0
529,-43,36,8,0,16,0
530,-43,37,8,0,16,0
531,-42,37,8,0,16,0
532,-42,41,8,0,16,0
533,-48,41,8,0,16,0
534,-42,42,8,0,16,0
535,-44,41,8,0,16,0
536,-43,37,8,0,16,0
537,-45,41,8,0,16,0
538,-42,41,8,0,16,0
539,-42,38,8,0,16,0
540,-43,42,8,0,16,0
541,-49,40,8,0,16,0
542,-43,36,8,0,16,0
543,-47,39,8,0,16,0
544,-144,50,8,0,17,1
545,-151,45,8,0,17,1
546,-58,37,8,0,17,1
547,-47,40,8,0,17,1
548,-49,34,8,0,17,1
549,-142,47,8,0,17,1
550,-147,46,8,0,17,1
551,-147,46,8,0,17,1
552,-41,40,8,0,17,1
553,-45,40,8,0,17,1
554,-41,42,8,0,17,1
555,-148,47,8,0,17,1
556,-148,47,8,0,17,1
557,-49,42,8,0,17,1
558,-43,35,8,0,17,1
559,-44,36,8,0,17,1
560,-144,46,8,0,17,1
561,-143,47,8,0,17,1
562,-147,44,8,0,17,1
563,-49,39,8,0,17,1
564,-47,38,8,0,17,1
565,-142,45,8,0,17,1
566,-146,46,8,0,17,1
567,-145,43,8,0,17,1
568,-47,41,8,0,17,1
569,-46,40,8,0,17,1
570,-45,34,8,0,17,1
571,-146,45,8,0,17,1
572,-149,46,8,0,17,1
573,-49,44,8,0,17,1
574,-46,40,8,0,17,1
575,-51,39,8,0,17,1
576,-43,41,9,0,18,0
577,-45,40,9,0,18,0
578,-40,39,9,0,18,0
579,-43,41,9,0,18,0
580,-45,40,9,0,18,0
581,-46,37,9,0,18,0
582,-45,43,9,0,18,0
583,-44,38,9,0,18,0
584,-44,41,9,0,18,0
585,-43,45,9,0,18,0
586,-42,42,9,0,18,0
587,-44,42,9,0,18,0
588,-40,41,9,0,18,0
589,-46,43,9,0,18,0
590,-44,40,9,0,18,0
591,-48,37,9,0,18,0
592,-40,33,9,0,18,0
593,-46,34,9,0,18,0
594,-47,42,9,0,18,0
595,-46,39,9,0,18,0
